YEAR,BFSNR,GDE_NAME,STF_O_KIRCHE1,STF_O_KIRCHE2,STF_O_KIRCHE3,STF_REF1,STF_REF2,STF_REF3,STF_KATH1,STF_KATH2,STF_KATH3,STF_CKRKATH1,STF_CKRKATH2,STF_CKRKATH3,JUR_PERS
2025,112,Bubikon,118,0,0,132,0,0,130,131,0,132,0,0,131.62
2025,113,Dürnten,113,0,0,127,0,0,125,0,0,127,0,0,126.14
2025,114,Fischenthal,122,0,0,136,0,0,135,0,0,136,0,0,135.7
2025,115,Gossau,117,0,0,131,0,0,131,0,0,131,0,0,131
2025,116,Grüningen,116,0,0,128,0,0,129,0,0,130,0,0,128.34
2025,117,Hinwil,119,0,0,131,0,0,135,0,0,133,0,0,132.6
2025,118,Rüti,119,0,0,133,0,0,131,0,0,133,0,0,131.94
2025,119,Seegräben,111,0,0,123,0,0,125,0,0,125,0,0,123.68
2025,120,Wald,122,0,0,136,0,0,134,0,0,136,0,0,135.02
2025,121,Wetzikon,119,0,0,133,0,0,133,0,0,133,0,0,133
2025,131,Adliswil,102,0,0,112,0,0,112,0,0,116,0,0,112
2025,135,Kilchberg,72,0,0,80,0,0,78,0,0,86,0,0,79.06
2025,136,Langnau a.A.,106,0,0,116,0,0,119,0,0,120,0,0,117.59
2025,137,Oberrieden,84,0,0,96,0,0,95,0,0,98,0,0,95.58
2025,138,Richterswil,99,0,0,111,0,0,113,0,0,113,0,0,111.98
2025,139,Rüschlikon,75,0,0,85,0,0,85,0,0,89,0,0,85
2025,141,Thalwil,78,0,0,89,0,0,88,0,0,92,0,0,88.48
2025,151,Erlenbach,76,0,0,84,0,0,83,0,0,90,0,0,83.58
2025,152,Herrliberg,75,0,0,84,0,0,83,0,0,89,0,0,83.57
2025,153,Hombrechtikon,113,0,0,124,0,0,126,0,0,127,0,0,124.92
2025,154,Küsnacht,73,0,0,80,0,0,80,0,0,87,0,0,80
2025,155,Männedorf,91,0,0,102,0,0,102,0,0,105,0,0,102
2025,156,Meilen,79,0,0,88,0,0,86,0,0,93,0,0,87.16
2025,157,Oetwil a.S.,116,0,0,130,0,0,125,0,0,130,0,0,127.55
2025,158,Stäfa,78,0,0,89,0,0,89,0,0,92,0,0,89
2025,159,Uetikon a.S.,84,0,0,95,0,0,95,0,0,98,0,0,95
2025,160,Zumikon,75,0,0,83,0,0,83,0,0,89,0,0,83
2025,161,Zollikon,76,0,0,84,0,0,84,0,0,90,0,0,84
2025,172,Fehraltorf,111,0,0,124,0,0,122,0,0,125,0,0,123.2
2025,173,Hittnau,113,0,0,127,0,0,124,0,0,127,0,0,126.1
2025,176,Lindau,106,0,0,118,0,0,119,0,0,120,0,0,118.41
2025,177,Pfäffikon,110,0,0,122,0,0,121,0,0,124,0,0,121.63
2025,178,Russikon,113,0,0,125,0,0,124,0,0,127,0,0,124.67
2025,180,Weisslingen,116,0,0,129,0,0,129,0,0,130,0,0,129
2025,181,Wila,125,0,0,139,0,0,138,0,0,139,0,0,138.72
2025,182,Wildberg,127,0,0,141,0,0,140,0,0,141,0,0,140.8
2025,191,Dübendorf,96,0,0,107,0,0,107,0,0,110,0,0,107
2025,192,Egg,101,0,0,113,0,0,110,0,0,115,0,0,111.65
2025,193,Fällanden,99,0,0,110,0,0,110,0,0,113,0,0,110
2025,194,Greifensee,96,0,0,107,0,0,106,0,0,110,0,0,106.57
2025,195,Maur,85,0,0,94,0,0,94,0,0,99,0,0,94
2025,196,Mönchaltorf,108,0,0,121,0,0,117,0,0,122,0,0,119.52
2025,197,Schwerzenbach,104,0,0,115,0,0,115,0,0,118,0,0,115
2025,198,Uster,112,110,0,123,121,0,122,120,0,126,124,0,122.54
2025,199,Volketswil,101,0,0,111,0,0,111,0,0,115,0,0,111
2025,200,Wangen-Brüttisellen,101,0,0,112,0,0,109,0,0,115,0,0,110.44
2025,211,Altikon,114,0,0,126,0,0,127,0,0,128,0,0,126.19
2025,213,Brütten,85,0,0,97,0,0,98,0,0,99,0,0,97.27
2025,214,Dägerlen,106,0,0,120,0,0,119,0,0,120,0,0,119.82
2025,215,Dättlikon,114,0,0,126,0,0,127,0,0,128,0,0,126.23
2025,216,Dinhard,90,0,0,102,0,0,103,0,0,104,0,0,102.25
2025,218,Ellikon a.d.Th.,117,0,0,129,0,0,130,0,0,131,0,0,129.27
2025,219,Elsau,117,0,0,131,0,0,130,0,0,131,0,0,130.61
2025,220,Hagenbuch,123,0,0,137,0,0,137,0,0,137,0,0,137
2025,221,Hettlingen,97,0,0,110,0,0,110,0,0,111,0,0,110
2025,223,Neftenbach,102,0,0,112,0,0,115,0,0,116,0,0,112.9
2025,224,Pfungen,117,0,0,129,0,0,130,0,0,131,0,0,129.41
2025,225,Rickenbach,108,0,0,120,0,0,121,0,0,122,0,0,120.32
2025,226,Schlatt,125,0,0,139,0,0,137,0,0,139,0,0,138.64
2025,227,Seuzach,100,0,0,112,0,0,113,0,0,114,0,0,112.38
2025,228,Turbenthal,122,112,0,136,126,0,135,125,0,136,126,0,135.67
2025,230,Winterthur,125,0,0,138,0,0,142,0,0,139,0,0,139.72
2025,231,Zell,118,0,0,132,0,0,130,0,0,132,0,0,131.22
2025,241,Aesch,91,0,0,102,0,0,101,0,0,105,0,0,101.6
2025,242,Birmensdorf,112,0,0,123,0,0,122,0,0,126,0,0,122.54
2025,243,Dietikon,121,0,0,133,0,0,134,0,0,135,0,0,133.69
